,Spill Number,Date Spill Reported,SpillName,County,City/Town,Address,Material,Amount,Resource Affected,Cause,Source,Waterbody,Closed,Full Address,original address,latitude,longitude
325,1409712,12/30/2014,Private Resd,KINGS,BROOKLYN,2015 LINDEN BLVD,#2 Fuel Oil,4,Soil,Human Error,Private Dwelling,,01/09/15,"2015 LINDEN BLVD, BROOKLYN, NY","2015 LINDEN BLVD, BROOKLYN, NY",40.660056,-73.88815
326,1409724,12/31/2014,Private Resd,KINGS,BROOKLYN,2925 W 19TH ST,#2 Fuel Oil,5,Soil,Equipment Failure,Private Dwelling,,Not closed,"2925 W 19TH ST, BROOKLYN, NY","2925 W 19TH ST, BROOKLYN, NY",40.575935,-73.985706
327,1409728,12/31/2014,Ttf - Is #14 School,KINGS,BROOKLYN,2424 VATCHELDER ST,#4 Fuel Oil,Unknown,Unknown,Tank Test Failure,"Institutional, Educational, Gov., Other",,Not closed,"2424 VATCHELDER ST, BROOKLYN, NY","2424 VATCHELDER ST, BROOKLYN, NY",40.593489,-73.938138
328,1409732,12/31/2014,Man Hole 6296,KINGS,BROOKLYN,604 WAST 4 ST,Unknown Petroleum,0.13,Unknown,Unknown,Commercial/Industrial,,Not closed,"604 WAST 4 ST, BROOKLYN, NY","604 WAST 4 ST, BROOKLYN, NY",40.637333,-73.975596
329,1409760,01/02/2015,Sidewalk,KINGS,BROOKLYN,440 15TH ST,#2 Fuel Oil,Unknown,Unknown,Housekeeping,Private Dwelling,,01/02/15,"440 15TH ST, BROOKLYN, NY","440 15TH ST, BROOKLYN, NY",40.661642,-73.981739
330,1409800,01/05/2015,Air,KINGS,BROOKLYN,1202 MCDONALD AVE,Pce,Unknown,"Soil , Air",Unknown,Commercial/Industrial,,Not closed,"1202 MCDONALD AVE, BROOKLYN, NY","1202 MCDONALD AVE, BROOKLYN, NY",40.623963,-73.976245
331,1409809,01/05/2015,Residence,KINGS,BROOKLYN,642 PUTNAM AVE,#2 Fuel Oil,5,Unknown,Human Error,Commercial Vehicle,,Not closed,"642 PUTNAM AVE, BROOKLYN, NY","642 PUTNAM AVE, BROOKLYN, NY",40.685409,-73.936011
332,1409832,01/06/2015,Floyd Bennett Field,KINGS,BROOKLYN,50 AVIATION RD/BUILDING 273,#2 Fuel Oil,Unknown,Soil,Equipment Failure,Commercial/Industrial,,Not closed,"50 AVIATION RD/BUILDING 273, BROOKLYN, NY","50 AVIATION RD/BUILDING 273, BROOKLYN, NY",40.594647,-73.883486
333,1409836,01/06/2015,Apt Building,KINGS,BROOKLYN,119 EAST 19 TH ST,#2 Fuel Oil,10,Soil,Equipment Failure,Private Dwelling,,01/13/15,"119 EAST 19 TH ST, BROOKLYN, NY","119 EAST 19 TH ST, BROOKLYN, NY",40.646429,-73.961181
334,1409867,01/07/2015,Home,KINGS,BROOKLYN,946 BUSHWICK AVE,#2 Fuel Oil,Unknown,Soil,Human Error,Private Dwelling,,01/07/15,"946 BUSHWICK AVE, BROOKLYN, NY","946 BUSHWICK AVE, BROOKLYN, NY",40.692295,-73.92382
335,1409891,01/08/2015,Apartment,KINGS,BROOKLYN,66 COOPER,#2 Fuel Oil,1.5,Air,Equipment Failure,Private Dwelling,,01/20/15,"66 COOPER, BROOKLYN, NY","66 COOPER, BROOKLYN, NY",40.685222,-73.909505
336,1409893,01/08/2015,Commercial/Residential Building,KINGS,BROOKLYN,154 GRAHAM AVE,Tetrachloroethylene (pce),Unknown,"Air , Indoor Air",Unknown,Commercial/Industrial,,01/29/15,"154 GRAHAM AVE, BROOKLYN, NY","154 GRAHAM AVE, BROOKLYN, NY",40.706875,-73.942809
337,1409894,01/08/2015,Residence,KINGS,BROOKLYN,719 GREENE AVE,#2 Fuel Oil,Unknown,Unknown,Unknown,Private Dwelling,,02/23/15,"719 GREENE AVE, BROOKLYN, NY","719 GREENE AVE, BROOKLYN, NY",40.689899,-73.939811
338,1409975,01/10/2015,Apartment Building,KINGS,BROOKLYN,221 EAST 18TH STREET,#2 Fuel Oil,5,Soil,Human Error,Private Dwelling,,Not closed,"221 EAST 18TH STREET, BROOKLYN, NY","221 EAST 18TH STREET, BROOKLYN, NY",40.645897,-73.962105
339,1409981,01/10/2015,Drum Run,KINGS,BROOKLYN,89 FURMAN AVE,#2 Fuel Oil,Unknown,Unknown,Abandoned Drums,Unknown,, 01/15/2015,"89 FURMAN AVE, BROOKLYN, NY","89 FURMAN AVE, BROOKLYN, NY",40.683405,-73.906124
340,1410004,01/12/2015,Fuel Oil Spill At St. Fortunata Church,KINGS,BROOKLYN,2609 LINDEN BLVD,#2 Fuel Oil,200,Soil,Unknown,Gasoline Station Or Other Pbs Facility,,Not closed,"2609 LINDEN BLVD, BROOKLYN, NY","2609 LINDEN BLVD, BROOKLYN, NY",40.669033,-73.868122
341,1410017,01/12/2015,"Multi-Use Building, Apartment And Laundromat",KINGS,BROOKLYN,4101-11 13TH AVE,#2 Fuel Oil,20,Unknown,Equipment Failure,Commercial/Industrial,,Not closed,"4101-11 13TH AVE, BROOKLYN, NY","4101-11 13TH AVE, BROOKLYN, NY",40.639216,-73.987442
342,1410031,01/13/2015,Roadway,KINGS,BROOKLYN,53 VARICK AVE,Diesel,10,Unknown,Traffic Accident,Commercial Vehicle,,01/13/15,"53 VARICK AVE, BROOKLYN, NY","53 VARICK AVE, BROOKLYN, NY",40.707593,-73.927431
343,1410050,01/13/2015,School,KINGS,BROOKLYN,29 FORT GREENE PL,#6 Fuel Oil,50,Unknown,Equipment Failure,"Institutional, Educational, Gov., Other",,01/22/15,"29 FORT GREENE PL, BROOKLYN, NY","29 FORT GREENE PL, BROOKLYN, NY",40.688873,-73.97641
344,1410051,01/13/2015,School,KINGS,BROOKLYN,S ELLIOTT PLACE/DEKALB AVE,Unknown Petroleum,70,"Sewer, Sewer",Equipment Failure,"Institutional, Educational, Gov., Other",,01/14/15,"S ELLIOTT PLACE/DEKALB AVE, BROOKLYN, NY","S ELLIOTT PLACE/DEKALB AVE, BROOKLYN, NY",33.497821,-94.634616
345,1410058,01/14/2015,Commercial Property,KINGS,BROOKLYN,1181 FLUSHING AVE,Unknown Petroleum,Unknown,"Soil , Groundwater",Other,Gasoline Station Or Other Pbs Facility,,Not closed,"1181 FLUSHING AVE, BROOKLYN, NY","1181 FLUSHING AVE, BROOKLYN, NY",40.706534,-73.925224
346,1410068,01/14/2015,Commercial Building,KINGS,BROOKLYN,194 SCHENCK AVE,Other,Unknown,Soil,Unknown,Commercial/Industrial,,02/27/15,"194 SCHENCK AVE, BROOKLYN, NY","194 SCHENCK AVE, BROOKLYN, NY",40.676181,-73.889623
347,1410084,01/14/2015,Gowanus Power Plant,KINGS,BROOKLYN,730 3RD AVE,Nitrogen Dioxide,1,Unknown,Equipment Failure,Commercial/Industrial,,01/14/15,"730 3RD AVE, BROOKLYN, NY","730 3RD AVE, BROOKLYN, NY",40.664748,-74.002298
348,1410090,01/14/2015,Construction Site,KINGS,BROOKLYN,550 VANDERBILT AVENUE,Unknown Petroleum,Unknown,Soil,Unknown,Commercial/Industrial,,Not closed,"550 VANDERBILT AVENUE, BROOKLYN, NY","550 VANDERBILT AVENUE, BROOKLYN, NY",40.680227,-73.96796
349,1410116,01/15/2015,Former Gas Station,KINGS,BROOKLYN,120 UNION AVE,Unknown Petroleum,Unknown,Soil,Unknown,Private Dwelling,,Not closed,"120 UNION AVE, BROOKLYN, NY","120 UNION AVE, BROOKLYN, NY",40.703983,-73.949928
350,1410121,01/15/2015,Con Ed 65513 Manhole/ Farragut Substaton,KINGS,BROOKLYN,89 JOHN ST,Unknown Petroleum,7,Unknown,Unknown,Unknown,,Not closed,"89 JOHN ST, BROOKLYN, NY","89 JOHN ST, BROOKLYN, NY",40.704375,-73.984956
351,1410192,01/18/2015,Costco,KINGS,BROOKLYN,976 3RD AVE,Cooking Grease,30,Unknown,Equipment Failure,Commercial/Industrial,,01/20/15,"976 3RD AVE, BROOKLYN, NY","976 3RD AVE, BROOKLYN, NY",40.655481,-74.009074
352,1410229,01/20/2015,Pole Top,KINGS,BROOKLYN,2032 EAST 35TH STREET,Dielectric Fluid,Unknown,Unknown,Equipment Failure,Transformer,,Not closed,"2032 EAST 35TH STREET, BROOKLYN, NY","2032 EAST 35TH STREET, BROOKLYN, NY",40.608523,-73.931627
353,1410284,01/21/2015,Worksite,KINGS,BROOKLYN,400 BAY 41ST STREET,Hydraulic Oil,Unknown,Unknown,Equipment Failure,Commercial/Industrial,,Not closed,"400 BAY 41ST STREET, BROOKLYN, NY","400 BAY 41ST STREET, BROOKLYN, NY",40.589343,-73.99596
354,1410331,01/22/2015,Apt Building/Apt 1a,KINGS,BROOKLYN,234 NORTH 9 ST,Unknown Petroleum,Unknown,Unknown,Unknown,Private Dwelling,,Not closed,"234 NORTH 9 ST, BROOKLYN, NY","234 NORTH 9 ST, BROOKLYN, NY",40.717286,-73.954359
355,1410366,01/23/2015,Mobil Station,KINGS,BROOKLYN,6000 SHORE PKWY,Gasoline,Unknown,Soil,Unknown,Gasoline Station Or Other Pbs Facility,,01/23/15,"6000 SHORE PKWY, BROOKLYN, NY","6000 SHORE PKWY, BROOKLYN, NY",40.592534,-73.908198
356,1410440,01/26/2015,Residence,KINGS,BROOKLYN,376 LEWIS AVE,#2 Fuel Oil,190,Unknown,Equipment Failure,Private Dwelling,,03/23/15,"376 LEWIS AVE, BROOKLYN, NY","376 LEWIS AVE, BROOKLYN, NY",40.682631,-73.935
357,1410470,01/28/2015,Ground,KINGS,BROOKLYN,378 LEWIS AVE,#2 Fuel Oil,150,Soil,Equipment Failure,Commercial/Industrial,,01/28/15,"378 LEWIS AVE, BROOKLYN, NY","378 LEWIS AVE, BROOKLYN, NY",40.682505,-73.935254
358,1410482,01/28/2015,Kings County Em. Res.,KINGS,,ONE HUNTERS POINT PLAZA,Material Not Identified,Unknown,,Other,Unknown,,Not closed,"ONE HUNTERS POINT PLAZA, , NY","ONE HUNTERS POINT PLAZA, , NY",40.738919,-73.932323
359,1410541,01/29/2015,Ps251 School,KINGS,BROOKLYN,1037 EAST 54TH ST,#4 Fuel Oil,Unknown,Unknown,Tank Test Failure,"Institutional, Educational, Gov., Other",,Not closed,"1037 EAST 54TH ST, BROOKLYN, NY","1037 EAST 54TH ST, BROOKLYN, NY",40.631273,-73.923848
360,1410602,01/30/2015,Across Road From,KINGS,BROOKLYN,244 ALBANY AVE,#2 Fuel Oil,5,Unknown,Equipment Failure,Commercial/Industrial,,02/03/15,"244 ALBANY AVE, BROOKLYN, NY","244 ALBANY AVE, BROOKLYN, NY",40.672269,-73.939445
361,1410625,02/02/2015,Basement,KINGS,BROOKLYN,1044 EAST 38TH STREET,#2 Fuel Oil,30,Unknown,Equipment Failure,Private Dwelling,,Not closed,"1044 EAST 38TH STREET, BROOKLYN, NY","1044 EAST 38TH STREET, BROOKLYN, NY",40.629637,-73.939882
362,1410645,02/03/2015,B-11,KINGS,BROOKLYN,810 PACIFIC ST,Diesel,25,Unknown,Equipment Failure,Commercial Vehicle,,02/03/15,"810 PACIFIC ST, BROOKLYN, NY","810 PACIFIC ST, BROOKLYN, NY",40.68085,-73.968318
363,1410678,02/04/2015,Private Home,KINGS,BROOKLYN,5021 CLARENDON ROAD,Gasoline,Unknown,Unknown,Unknown,Private Dwelling,,02/11/15,"5021 CLARENDON ROAD, BROOKLYN, NY","5021 CLARENDON ROAD, BROOKLYN, NY",40.644746,-73.928794
364,1410746,02/06/2015,Basement,KINGS,BROOKLYN,925 UNION ST,#2 Fuel Oil,Unknown,Unknown,Tank Test Failure,Private Dwelling,,Not closed,"925 UNION ST, BROOKLYN, NY","925 UNION ST, BROOKLYN, NY",40.673466,-73.972212
365,1410758,02/07/2015,Pole 63292,KINGS,BROOKLYN,1117 EAST 57TH ST,Transformer Oil,0.25,Unknown,Equipment Failure,Transformer,,Not closed,"1117 EAST 57TH ST, BROOKLYN, NY","1117 EAST 57TH ST, BROOKLYN, NY",40.625702,-73.920501
366,1410761,02/07/2015,Owls Head Wwtp,KINGS,BROOKLYN,6700 SHORE RD,Transformer Oil,7,Unknown,Equipment Failure,"Institutional, Educational, Gov., Other",,02/09/15,"6700 SHORE RD, BROOKLYN, NY","6700 SHORE RD, BROOKLYN, NY",40.641886,-74.034062
367,1410814,02/10/2015,Eastern District High School,KINGS,BROOKLYN,850 GRAND STREET,#4 Fuel Oil,Unknown,Unknown,Housekeeping,Private Dwelling,,Not closed,"850 GRAND STREET, BROOKLYN, NY","850 GRAND STREET, BROOKLYN, NY",40.711881,-73.940338
368,1410864,02/12/2015,Salon,KINGS,BROOKLYN,1728 86TH STREET,#2 Fuel Oil,10,Air,Human Error,Commercial/Industrial,,02/12/15,"1728 86TH STREET, BROOKLYN, NY","1728 86TH STREET, BROOKLYN, NY",40.607858,-74.004145
369,1410874,02/12/2015,Residence,KINGS,BROOKLYN,2453 EAST 13TH STREET,#2 Fuel Oil,Unknown,Soil,Equipment Failure,Private Dwelling,,02/17/15,"2453 EAST 13TH STREET, BROOKLYN, NY","2453 EAST 13TH STREET, BROOKLYN, NY",40.590705,-73.956551
370,1410973,02/18/2015,"Manhole Tm1653, Tm1754, Tm1802, & Bc1653",KINGS,BROOKLYN,621 COURT ST,Unknown Petroleum,16,Unknown,Unknown,Transformer,,Not closed,"621 COURT ST, BROOKLYN, NY","621 COURT ST, BROOKLYN, NY",40.670959,-74.001373
371,1410980,02/18/2015,Daycare Center,KINGS,BROOKLYN,987 LAFAYETTE AVE,#2 Fuel Oil,8,Unknown,Unknown,Commercial/Industrial,,Not closed,"987 LAFAYETTE AVE, BROOKLYN, NY","987 LAFAYETTE AVE, BROOKLYN, NY",40.692245,-73.932657
372,1411031,02/20/2015,Brownsville Substation,KINGS,BROOKLYN,247 WILLIAMS AVE,Dielectric Fluid,400,Soil,Other,Commercial/Industrial,,Not closed,"247 WILLIAMS AVE, BROOKLYN, NY","247 WILLIAMS AVE, BROOKLYN, NY",40.669442,-73.899019
373,1411087,02/22/2015,Midtown Creek,KINGS,BROOKLYN,MANHATTAN AVE BOAT LAUNCH,Unknown Petroleum,Unknown,Surface Water,Unknown,Unknown,Midtown Creek,03/02/15,"MANHATTAN AVE BOAT LAUNCH, BROOKLYN, NY","MANHATTAN AVE BOAT LAUNCH, BROOKLYN, NY",39.352632,-96.662108
374,1411103,02/23/2015,Red Hook Term.,KINGS,BROOKLYN,17 COMMERCIAL WARF/BERTH 10,Unknown Material,5.5,Surface Water,Unknown,Vessel,Butter Milk Channel,02/23/15,"17 COMMERCIAL WARF/BERTH 10, BROOKLYN, NY","17 COMMERCIAL WARF/BERTH 10, BROOKLYN, NY",40.678178,-73.944158
375,1411125,02/23/2015,Drum Run,KINGS,BROOKLYN,GLENMORE AND VERMONT ST,Unknown Petroleum,Unknown,Unknown,Unknown,Unknown,,03/19/15,"GLENMORE AND VERMONT ST, BROOKLYN, NY","GLENMORE AND VERMONT ST, BROOKLYN, NY",40.673437,-73.894282
376,1411164,02/24/2015,Newtown Creek,KINGS,BROOKLYN,UNDER POLASKI BRIDGE,Unknown Petroleum,Unknown,Surface Water,Other,Unknown,Newtown Creek,02/24/15,"UNDER POLASKI BRIDGE, BROOKLYN, NY","UNDER POLASKI BRIDGE, BROOKLYN, NY",40.678178,-73.944158
378,1411215,02/25/2015,Gulf Gas Station,KINGS,BROOKLYN,260 HAMILTON AVE,Diesel,Unknown,"Soil , Surface Water",Equipment Failure,Gasoline Station Or Other Pbs Facility,, 03/03/2015,"260 HAMILTON AVE, BROOKLYN, NY","260 HAMILTON AVE, BROOKLYN, NY",40.677093,-74.0026
379,1411218,02/25/2015,Guld Gas Station,KINGS,BROOKLYN,260 HAMILITON AVE,Diesel,Unknown,Unknown,Housekeeping,Gasoline Station Or Other Pbs Facility,,02/25/15,"260 HAMILITON AVE, BROOKLYN, NY","260 HAMILITON AVE, BROOKLYN, NY",40.677093,-74.0026
380,1411260,02/27/2015,Arc Terminals,KINGS,BROOKLYN,25 PAIDGE AVE,Gasoline,6,Unknown,Equipment Failure,Commercial/Industrial,,03/02/15,"25 PAIDGE AVE, BROOKLYN, NY","25 PAIDGE AVE, BROOKLYN, NY",40.737441,-73.951971
381,1411277,02/27/2015,Drum Run,KINGS,BROOKLYN,181 PATCHEN AVE,Unknown Hazardous Material,Unknown,Unknown,Abandoned Drums,Unknown,,03/19/15,"181 PATCHEN AVE, BROOKLYN, NY","181 PATCHEN AVE, BROOKLYN, NY",40.685127,-73.92623
382,1411290,02/27/2015,Kosciusko Bridge (under Brooklyn Aproach),KINGS,BROOKLYN,KOSCIUSKO BRIDGE,Other,5,Surface Water,Housekeeping,Commercial/Industrial,Newtown Creek,03/02/15,"KOSCIUSKO BRIDGE, BROOKLYN, NY","KOSCIUSKO BRIDGE, BROOKLYN, NY",40.728471,-73.928344
383,1411306,02/28/2015,Curb And Driveway,KINGS,BROOKLYN,7401 21ST AVE,#2 Fuel Oil,20,Soil,Housekeeping,Commercial Vehicle,,03/03/15,"7401 21ST AVE, BROOKLYN, NY","7401 21ST AVE, BROOKLYN, NY",40.610109,-73.988941
384,1411318,03/02/2015,Soil,KINGS,BROOKLYN,VAN SINDERAN BLVD AND E NEW YORK AVE,Dielectric Fluid,2,Soil,Equipment Failure,Commercial/Industrial,,Not closed,"VAN SINDERAN BLVD AND E NEW YORK AVE, BROOKLYN, NY","VAN SINDERAN BLVD AND E NEW YORK AVE, BROOKLYN, NY",40.665514,-73.926391
385,1411330,03/02/2015,Regulator,KINGS,BROOKLYN,79TH STREET EAST OF BELL PARKWAY,Raw Sewage,Unknown,Unknown,Other,Commercial/Industrial,,03/04/15,"79TH STREET EAST OF BELL PARKWAY, BROOKLYN, NY","79TH STREET EAST OF BELL PARKWAY, BROOKLYN, NY",40.584072,-73.96626
386,1411344,03/03/2015,Drum Run,KINGS,BROOKLYN,FURMAN AVE AND BUSHWICK AVE,Waste Oil/Used Oil,270,Unknown,Abandoned Drums,Commercial/Industrial,,03/19/15,"FURMAN AVE AND BUSHWICK AVE, BROOKLYN, NY","FURMAN AVE AND BUSHWICK AVE, BROOKLYN, NY",40.682802,-73.906376
387,1411355,03/03/2015,Vacant Commerical Property (gas Station),KINGS,BROOKLYN,6317 FORT HAMILTON PARKWAY,Gasoline,Unknown,Soil,Equipment Failure,Gasoline Station Or Other Pbs Facility,,Not closed,"6317 FORT HAMILTON PARKWAY, BROOKLYN, NY","6317 FORT HAMILTON PARKWAY, BROOKLYN, NY",40.631108,-74.007959
388,1411368,03/04/2015,Commercial Property,KINGS,BROOKLYN,703 BRIGHTON BEACH,Unknown Petroleum,Unknown,Soil,Other,Commercial/Industrial,,03/10/15,"703 BRIGHTON BEACH, BROOKLYN, NY","703 BRIGHTON BEACH, BROOKLYN, NY",40.578095,-73.960503
389,1411384,03/04/2015,Tom Aliquo,KINGS,BROOKLYN,1543 WEST 6TH ST,#2 Fuel Oil,Unknown,Unknown,Equipment Failure,Private Dwelling,,Not closed,"1543 WEST 6TH ST, BROOKLYN, NY","1543 WEST 6TH ST, BROOKLYN, NY",40.609605,-73.97964
390,1411396,03/05/2015,Man Holecovers,KINGS,BROOKLYN,NORMAN AVE TO JEWEL AVE,Gasoline,Unknown,Groundwater,Human Error,"Institutional, Educational, Gov., Other",,03/12/15,"NORMAN AVE TO JEWEL AVE, BROOKLYN, NY","NORMAN AVE TO JEWEL AVE, BROOKLYN, NY",40.728755,-73.947679
391,1411416,03/05/2015,Residence,KINGS,BROOKLYN,415 MONROE STREET,#2 Fuel Oil,5,Unknown,Other,Private Dwelling,,Not closed,"415 MONROE STREET, BROOKLYN, NY","415 MONROE STREET, BROOKLYN, NY",40.686792,-73.940914
392,1411495,03/09/2015,Building,KINGS,BROOKLYN,133 BAYARD ST,Unknown Material,5,Unknown,Unknown,Unknown,,03/12/15,"133 BAYARD ST, BROOKLYN, NY","133 BAYARD ST, BROOKLYN, NY",40.719835,-73.946959
393,1411497,03/09/2015,Soil,KINGS,BROOKLYN,133 BAYARD ST,#2 Fuel Oil,5,Soil,Equipment Failure,Private Dwelling,,Not closed,"133 BAYARD ST, BROOKLYN, NY","133 BAYARD ST, BROOKLYN, NY",40.719835,-73.946959
394,1411530,03/10/2015,Service Box,KINGS,BROOKLYN,635 SACKETT STREET,#2 Fuel Oil,18,Unknown,Unknown,Unknown,,Not closed,"635 SACKETT STREET, BROOKLYN, NY","635 SACKETT STREET, BROOKLYN, NY",40.678289,-73.983173
395,1411553,03/11/2015,Oil Depot,KINGS,"CARROLL GARDENS, BROOKLYN.",SMITH STREET AND GARNETT STREET,Unknown Petroleum,Unknown,Air,Unknown,Unknown,,03/17/15,"SMITH STREET AND GARNETT STREET, CARROLL GARDENS, BROOKLYN., NY","SMITH STREET AND GARNETT STREET, CARROLL GARDENS, BROOKLYN., NY",40.674112,-73.998073
396,1411666,03/14/2015,Drum Run,KINGS,BROOKLYN,FURMAN AVE BTWN BUSHWICK AND DEADEND,Unknown Petroleum,Unknown,Unknown,Housekeeping,Commercial/Industrial,,03/16/15,"FURMAN AVE BTWN BUSHWICK AND DEADEND, BROOKLYN, NY","FURMAN AVE BTWN BUSHWICK AND DEADEND, BROOKLYN, NY",40.678178,-73.944158
397,1411674,03/14/2015,Hess Station# 32507,KINGS,BROOKLYN,1630 BUSHWICK AVE,Waste Oil/Used Oil,Unknown,Unknown,Vandalism,Commercial/Industrial,,03/16/15,"1630 BUSHWICK AVE, BROOKLYN, NY","1630 BUSHWICK AVE, BROOKLYN, NY",40.680244,-73.902707
398,1411691,03/15/2015,Manhole,KINGS,BROOKLYN,WEST ST AND QUAY ST,Unknown Petroleum,Unknown,Unknown,Unknown,Commercial/Industrial,,Not closed,"WEST ST AND QUAY ST, BROOKLYN, NY","WEST ST AND QUAY ST, BROOKLYN, NY",40.726172,-73.958653
399,1411705,03/16/2015,Basement,KINGS,BROOKYLN,135 BAYARD ST,#2 Fuel Oil,Unknown,"Soil , Groundwater",Equipment Failure,Private Dwelling,,03/20/15,"135 BAYARD ST, BROOKYLN, NY","135 BAYARD ST, BROOKYLN, NY",40.719902,-73.946901
400,1411729,03/16/2015,Phase 2,KINGS,BROOKLYN,65 ECKFORD ST,Unknown Material,Unknown,Soil,Unknown,Commercial/Industrial,,Not closed,"65 ECKFORD ST, BROOKLYN, NY","65 ECKFORD ST, BROOKLYN, NY",40.722071,-73.948211
401,1411735,03/16/2015,Construction Site,KINGS,BROOKLYN,203 JAY ST,Dielectric Fluid,5500,Soil,Human Error,Commercial/Industrial,,Not closed,"203 JAY ST, BROOKLYN, NY","203 JAY ST, BROOKLYN, NY",40.697938,-73.986627
402,1411740,03/16/2015,Road Way,KINGS,BROOKLYN,202 JAY ST,Dielectric Fluid,800,"Soil , Groundwater , Sewer, Subway",Equipment Failure,Commercial/Industrial,,03/16/15,"202 JAY ST, BROOKLYN, NY","202 JAY ST, BROOKLYN, NY",40.698625,-73.986962
403,1411760,03/17/2015,Drum Run,KINGS,BROOKLYN,316 FOUNTAIN AVE,Waste Oil/Used Oil,150,Unknown,Abandoned Drums,Unknown,,03/19/15,"316 FOUNTAIN AVE, BROOKLYN, NY","316 FOUNTAIN AVE, BROOKLYN, NY",40.671921,-73.874802
404,1411768,03/17/2015,To Roadway,KINGS,BROOKLYN,IFO 210 VARICK AVE,Diesel,15,Unknown,Traffic Accident,Commercial Vehicle,,03/17/15,"IFO 210 VARICK AVE, BROOKLYN, NY","IFO 210 VARICK AVE, BROOKLYN, NY",40.71357,-73.929245
405,1411803,03/17/2015,M/V Grey Shark,KINGS,,GRAVESEND BAY,Bunker C Oil,Unknown,Surface Water,Unknown,Vessel,,03/18/15,"GRAVESEND BAY, , NY","GRAVESEND BAY, , NY",40.593121,-74.009447
406,1411808,03/18/2015,341 East 19th Realty,KINGS,BROOKLYN,341 EAST 19TH ST,#2 Fuel Oil,Unknown,Unknown,Tank Test Failure,Commercial/Industrial,,Not closed,"341 EAST 19TH ST, BROOKLYN, NY","341 EAST 19TH ST, BROOKLYN, NY",40.641787,-73.960322
407,1411822,03/18/2015,Manhole 69589,KINGS,BROOKLYN,568 Vanderbilt Ave,Unknown Petroleum,750,Unknown,Unknown,Commercial/Industrial,,Not closed,"568 Vanderbilt Ave, BROOKLYN, NY","568 Vanderbilt Ave, BROOKLYN, NY",40.679665,-73.968482
408,1411862,03/19/2015,Transmission Feeder #41t Gowanis Subst,KINGS,BROOKLYN,27TH ST & 3RD AVE,Dielectric Fluid,10,Soil,Equipment Failure,Transformer,,Not closed,"27TH ST & 3RD AVE, BROOKLYN, NY","27TH ST & 3RD AVE, BROOKLYN, NY",40.660457,-74.001026
409,1411911,03/20/2015,Mhany Llc,KINGS,BROOKLYN,659 PENNSYLVANIA AVE,Unknown Petroleum,Unknown,Soil,Unknown,Commercial/Industrial,,Not closed,"659 PENNSYLVANIA AVE, BROOKLYN, NY","659 PENNSYLVANIA AVE, BROOKLYN, NY",40.661275,-73.892266
