,Spill Number,Date Spill Reported,SpillName,County,City/Town,Address,Material,Amount,Resource Affected,Cause,Source,Waterbody,Closed,Full Address,original address,latitude,longitude
177,1405218,08/13/2014,Transformer Pole 37481,KINGS,BROOKLYN,757 E86TH ST,Dielectric Fluid,0.25,Soil,Equipment Failure,Unknown,,Not closed,"757 E86TH ST, BROOKLYN, NY","757 E86TH ST, BROOKLYN, NY",40.638831,-73.90912
178,1405259,08/14/2014,38th St Yard,KINGS,BROOKLYN,3801 9TH AVE,Diesel,3,Soil,Equipment Failure,Commercial/Industrial,,08/20/14,"3801 9TH AVE, BROOKLYN, NY","3801 9TH AVE, BROOKLYN, NY",40.646329,-73.994677
179,1405263,08/14/2014,Roadway,KINGS,BROOKLYN,MCGUINESS BLVD AND GREEN POINT AVE,#4 Fuel Oil,15,Unknown,Equipment Failure,Commercial Vehicle,,09/03/14,"MCGUINESS BLVD AND GREEN POINT AVE, BROOKLYN, NY","MCGUINESS BLVD AND GREEN POINT AVE, BROOKLYN, NY",40.730432,-73.951581
180,1405267,08/14/2014,Mta Manhole,KINGS,BROOKLYN,NORTH 7TH ST AND KENT AVE,Dielectric Fluid,0.5,Unknown,Equipment Failure,Commercial/Industrial,,10/03/14,"NORTH 7TH ST AND KENT AVE, BROOKLYN, NY","NORTH 7TH ST AND KENT AVE, BROOKLYN, NY",40.720302,-73.961698
181,1405277,08/14/2014,Tank Test Fail,KINGS,BROOKLYN,2913 FOSTER AVE,#2 Fuel Oil,Unknown,Unknown,Tank Test Failure,Commercial/Industrial,,Not closed,"2913 FOSTER AVE, BROOKLYN, NY","2913 FOSTER AVE, BROOKLYN, NY",40.638838,-73.948632
183,1405398,08/18/2014,Mta Lot Adjacent To Railway,KINGS,BROOKLYN,807 EAST 92ND STREET,Unknown Petroleum,Unknown,Soil,Unknown,"Non Major Facility > 1,100 Gal",,Not closed,"807 EAST 92ND STREET, BROOKLYN, NY","807 EAST 92ND STREET, BROOKLYN, NY",40.6483,-73.91239
184,1405465,08/20/2014,Residence,KINGS,BROOKLYN,413 MILLER AVE,Sulfuric Acid,18,Unknown,Unknown,Private Dwelling,,08/20/14,"413 MILLER AVE, BROOKLYN, NY","413 MILLER AVE, BROOKLYN, NY",40.670733,-73.89054
185,1405479,08/20/2014,63109 Manhole,KINGS,BROOKLYN,EAST 4TH AND KINGS HWY,Dielectric Fluid,0.75,Soil,Equipment Failure,Commercial/Industrial,,10/06/14,"EAST 4TH AND KINGS HWY, BROOKLYN, NY","EAST 4TH AND KINGS HWY, BROOKLYN, NY",40.60455,-73.969117
186,1405517,08/20/2014,Mta Bus,KINGS,BROOKLYN,LEE AVE AND WILSON AVE,Transmission Fluid,10,Soil,Equipment Failure,Commercial Vehicle,,08/21/14,"LEE AVE AND WILSON AVE, BROOKLYN, NY","LEE AVE AND WILSON AVE, BROOKLYN, NY",40.706468,-73.960771
187,1405540,08/20/2014,Street/Roadway,KINGS,BROOKLYN,LEE AVE AND WILSON STREET,Transformer Oil,15,Unknown,Equipment Failure,Commercial Vehicle,,08/21/14,"LEE AVE AND WILSON STREET, BROOKLYN, NY","LEE AVE AND WILSON STREET, BROOKLYN, NY",40.706468,-73.960771
188,1405564,08/22/2014,In Front Of,KINGS,BROOKLYN,431 KENT AVE,Unknown Petroleum,Unknown,Unknown,Equipment Failure,Commercial/Industrial,,08/26/14,"431 KENT AVE, BROOKLYN, NY","431 KENT AVE, BROOKLYN, NY",40.708608,-73.967831
189,1405582,08/22/2014,Man Hole 1589,KINGS,BROOKLYN,NORTHEAST ADAMS ST / JOHNSON ST,Unknown Petroleum,30,Unknown,Unknown,Unknown,,10/06/14,"NORTHEAST ADAMS ST / JOHNSON ST, BROOKLYN, NY","NORTHEAST ADAMS ST / JOHNSON ST, BROOKLYN, NY",40.694772,-73.989104
190,1405635,08/24/2014,Roadway,KINGS,BROOKLYN,QUINEN RD AND WEST 7TH STREET,Gasoline,3,Unknown,Unknown,Passenger Vehicle,,08/25/14,"QUINEN RD AND WEST 7TH STREET, BROOKLYN, NY","QUINEN RD AND WEST 7TH STREET, BROOKLYN, NY",40.605828,-73.980302
191,1405655,08/25/2014,Curb Side - Drum Run,KINGS,BROOKLYN,5013 AVE I,Waste Oil/Used Oil,20,Unknown,Abandoned Drums,Unknown,,09/12/14,"5013 AVE I, BROOKLYN, NY","5013 AVE I, BROOKLYN, NY",40.63078,-73.927551
192,1405708,08/26/2014,260-262 Van Brunt Llc,KINGS,BROOKLYN,260 VAN BRUNT ST,Unknown Petroleum,Unknown,Soil,Unknown,Commercial/Industrial,,12/02/14,"260 VAN BRUNT ST, BROOKLYN, NY","260 VAN BRUNT ST, BROOKLYN, NY",40.680554,-74.009571
193,1405770,08/27/2014,Road Way/ Drain,KINGS,BROOKLYN,KINGS HIGH WAY AND EAST 93 STREET,Diesel,3,Sewer,Equipment Failure,Commercial Vehicle,,08/27/14,"KINGS HIGH WAY AND EAST 93 STREET, BROOKLYN, NY","KINGS HIGH WAY AND EAST 93 STREET, BROOKLYN, NY",40.699251,-73.987436
194,1405805,08/28/2014,Brooklyn Bridge Park Peer 2,KINGS,BROOKLYN,150 FURMAN STREET,Storm Water,Unknown,Surface Water,Unknown,Unknown,Hudson River,08/29/14,"150 FURMAN STREET, BROOKLYN, NY","150 FURMAN STREET, BROOKLYN, NY",40.701358,-73.995667
195,1405818,08/29/2014,Man Hole 55952,KINGS,BROOKLYN,238 STARR ST,Wastewater,2,Unknown,Unknown,Commercial/Industrial,,11/25/14,"238 STARR ST, BROOKLYN, NY","238 STARR ST, BROOKLYN, NY",40.705657,-73.922182
195,1405818,08/29/2014,Man Hole 55952,KINGS,BROOKLYN,238 STARR ST,Unknown Petroleum,6,Unknown,Unknown,Commercial/Industrial,,11/25/14,"238 STARR ST, BROOKLYN, NY","238 STARR ST, BROOKLYN, NY",40.705657,-73.922182
196,1405830,08/29/2014,Kingsborough,KINGS,BROOKLYN,2001 ORIENTAL BLVD,Hydraulic Oil,15,Sewer,Equipment Failure,Commercial Vehicle,,08/29/14,"2001 ORIENTAL BLVD, BROOKLYN, NY","2001 ORIENTAL BLVD, BROOKLYN, NY",40.578349,-73.934465
197,1405859,09/01/2014,Valentino Pier,KINGS,BROOKLYN,COFFEY ST AND FERRIS ST,Unknown Petroleum,Unknown,Surface Water,Unknown,Unknown,,09/02/14,"COFFEY ST AND FERRIS ST, BROOKLYN, NY","COFFEY ST AND FERRIS ST, BROOKLYN, NY",40.678114,-74.016893
198,1405877,09/02/2014,Fuel Oil Spill At Chai Tots Daycare Center,KINGS,BROOKLYN,70 PROSPECT PARK WEST,#2 Fuel Oil,Unknown,Unknown,Equipment Failure,Commercial/Industrial,,02/27/15,"70 PROSPECT PARK WEST, BROOKLYN, NY","70 PROSPECT PARK WEST, BROOKLYN, NY",40.668539,-73.973802
199,1405878,09/02/2014,Soil,KINGS,BROOKLYN,1785 PROSPECT PL,#2 Fuel Oil,Unknown,Soil,Other,Commercial/Industrial,,Not closed,"1785 PROSPECT PL, BROOKLYN, NY","1785 PROSPECT PL, BROOKLYN, NY",40.672827,-73.918095
200,1405932,09/03/2014,Con Ed Manhole 607702,KINGS,BROOKLYN,25TH AVE / HARWAY AVE,Dielectric Fluid,2,Soil,Unknown,Unknown,,11/25/14,"25TH AVE / HARWAY AVE, BROOKLYN, NY","25TH AVE / HARWAY AVE, BROOKLYN, NY",40.590554,-73.988909
201,1405934,09/03/2014,Con Ed- 2nd Loss At Same Location,KINGS,BROOKLYN,MANHOLE TM 2408 25TH AVE / HARWAY AVE,Unknown Petroleum,10,Soil,Unknown,Unknown,,11/25/14,"MANHOLE TM 2408 25TH AVE / HARWAY AVE, BROOKLYN, NY","MANHOLE TM 2408 25TH AVE / HARWAY AVE, BROOKLYN, NY",40.590554,-73.988909
202,1405977,09/04/2014,Vault Vs 3228,KINGS,BROOKLYN,CORTIELIA RD AND OCEAN AVE,Transformer Oil,0.5,Soil,Equipment Failure,Commercial/Industrial,,11/25/14,"CORTIELIA RD AND OCEAN AVE, BROOKLYN, NY","CORTIELIA RD AND OCEAN AVE, BROOKLYN, NY",40.648653,-73.960729
203,1406025,09/04/2014,Border Of Sidewalk,KINGS,BROOKLYN,390 10TH AVE,#2 Fuel Oil,Unknown,Soil,Unknown,Unknown,,09/25/14,"390 10TH AVE, BROOKLYN, NY","390 10TH AVE, BROOKLYN, NY",40.699534,-73.969693
204,1406027,09/04/2014,Feeder Cable - Manhole 73533,KINGS,BROOKLYN,PLYMOUTH ST WEST OF BRIDGE ST,Dielectric Fluid,10,Soil,Equipment Failure,Unknown,,12/05/14,"PLYMOUTH ST WEST OF BRIDGE ST, BROOKLYN, NY","PLYMOUTH ST WEST OF BRIDGE ST, BROOKLYN, NY",40.69762,-73.984969
205,1406053,09/05/2014,H Lot,KINGS,BROOKLYN,CLYMER STREET/ KENT AVE,Diesel,140,Soil,Other,Commercial Vehicle,,Not closed,"CLYMER STREET/ KENT AVE, BROOKLYN, NY","CLYMER STREET/ KENT AVE, BROOKLYN, NY",40.704079,-73.967224
206,1406153,09/09/2014,Service Box,KINGS,BROOKLYN,14-12 41ST STREET,Unknown Hazardous Material,Unknown,Unknown,Equipment Failure,Commercial/Industrial,,Not closed,"14-12 41ST STREET, BROOKLYN, NY","14-12 41ST STREET, BROOKLYN, NY",40.596803,-73.986017
207,1406164,09/09/2014,Between 13th And 14th St (by Harbor Freight),KINGS,BROOKLYN,HAMILTON PL,Waste Oil/Used Oil,Unknown,Soil,Equipment Failure,Commercial/Industrial,,09/12/14,"HAMILTON PL, BROOKLYN, NY","HAMILTON PL, BROOKLYN, NY",40.670902,-73.996863
208,1406399,09/09/2014,Report Of Illegal Dumping And Spill,KINGS,BROOKLYN,57 HAZEL COURT,Unknown Petroleum,Unknown,Unknown,Unknown,"Non Major Facility > 1,100 Gal",,09/16/14,"57 HAZEL COURT, BROOKLYN, NY","57 HAZEL COURT, BROOKLYN, NY",40.592389,-73.930112
209,1406201,09/10/2014,Soil And Groundwater,KINGS,BROOKLYN,98 THIRD AVE,Unknown Petroleum,Unknown,"Soil , Groundwater",Equipment Failure,Gasoline Station Or Other Pbs Facility,,Not closed,"98 THIRD AVE, BROOKLYN, NY","98 THIRD AVE, BROOKLYN, NY",40.683276,-73.982294
210,1406202,09/10/2014,Soil,KINGS,BROOKLYN,613 BUSHWICK AVE,Unknown Petroleum,Unknown,Soil,Equipment Failure,Gasoline Station Or Other Pbs Facility,,Not closed,"613 BUSHWICK AVE, BROOKLYN, NY","613 BUSHWICK AVE, BROOKLYN, NY",40.698569,-73.934215
211,1406210,09/10/2014,Manhole On Both Sides,KINGS,BROOKLYN,KENT AVE BET NORTH 11TH AND 12TH ST,Unknown Material,Unknown,Unknown,Unknown,Commercial/Industrial,,Not closed,"KENT AVE BET NORTH 11TH AND 12TH ST, BROOKLYN, NY","KENT AVE BET NORTH 11TH AND 12TH ST, BROOKLYN, NY",40.667374,-73.98781
212,1406241,09/11/2014,Man Hole /farragut Sub,KINGS,BROOKLYN,89 JOHN ST,Unknown Petroleum,6,Unknown,Unknown,Commercial/Industrial,,12/05/14,"89 JOHN ST, BROOKLYN, NY","89 JOHN ST, BROOKLYN, NY",40.704375,-73.984956
213,1406288,09/12/2014,Private Residence,KINGS,BROOKLYN,57 GLEN ST,#2 Fuel Oil,Unknown,Soil,Equipment Failure,Private Dwelling,,09/16/14,"57 GLEN ST, BROOKLYN, NY","57 GLEN ST, BROOKLYN, NY",40.680793,-73.873184
214,1406325,09/13/2014,Man Hole #3506,KINGS,BROOKLYN,BEDFORD AVE/ GLENWOOD ROAD,Unknown Petroleum,0.25,Soil,Unknown,Unknown,,12/05/14,"BEDFORD AVE/ GLENWOOD ROAD, BROOKLYN, NY","BEDFORD AVE/ GLENWOOD ROAD, BROOKLYN, NY",40.633083,-73.953003
215,1406345,09/14/2014,Vault 4081,KINGS,BROOKLYN,602 SURF AVE,Dielectric Fluid,0.01,Unknown,Equipment Failure,Transformer,,Not closed,"602 SURF AVE, BROOKLYN, NY","602 SURF AVE, BROOKLYN, NY",40.57427,-73.975917
216,1406369,09/15/2014,Vacant Factory,KINGS,BROOKLYN,11 SPENCER ST,"Perchlorine, Toluene",Unknown,"Soil, Groundwater",Other,Commercial/Industrial,,Not closed,"11 SPENCER ST, BROOKLYN, NY","11 SPENCER ST, BROOKLYN, NY",40.698676,-73.955885
217,1406415,09/16/2014,Tank Test Failure At Commercial Building,KINGS,BROOKLYN,46 CROWN ST,#2 Fuel Oil,Unknown,Unknown,Tank Test Failure,Commercial/Industrial,,01/29/15,"46 CROWN ST, BROOKLYN, NY","46 CROWN ST, BROOKLYN, NY",40.667148,-73.959831
218,1406429,09/16/2014,Construction Site,KINGS,BROOKLYN,224 RICHARDSON ST,#2 Fuel Oil,Unknown,Soil,Human Error,Commercial/Industrial,,Not closed,"224 RICHARDSON ST, BROOKLYN, NY","224 RICHARDSON ST, BROOKLYN, NY",40.718854,-73.942171
219,1406432,09/16/2014,Ttf,KINGS,BROOKLYN,300 10TH ST,#2 Fuel Oil,Unknown,Unknown,Tank Test Failure,Commercial/Industrial,,11/13/14,"300 10TH ST, BROOKLYN, NY","300 10TH ST, BROOKLYN, NY",40.669435,-73.989077
220,1406534,09/19/2014,Former Gas Station,KINGS,BROOKLYN,469 TROY AVE,Waste Oil/Used Oil,Unknown,Unknown,Tank Test Failure,Commercial/Industrial,,Not closed,"469 TROY AVE, BROOKLYN, NY","469 TROY AVE, BROOKLYN, NY",40.66265,-73.937144
221,1406577,09/20/2014,Drum Run,KINGS,BROOKLYN,653 EUCLID AVE,Unknown Hazardous Material,Unknown,Unknown,Abandoned Drums,Unknown,,10/02/14,"653 EUCLID AVE, BROOKLYN, NY","653 EUCLID AVE, BROOKLYN, NY",40.670946,-73.870504
222,1406594,09/22/2014,City Owned Tree Ifo 335 E52nd St,KINGS,BROOKLYN,335 E52ND ST (LINDEN & CHURCH AVE),Unknown Material,Unknown,Soil,Deliberate,Unknown,,09/24/14,"335 E52ND ST (LINDEN & CHURCH AVE), BROOKLYN, NY","335 E52ND ST (LINDEN & CHURCH AVE), BROOKLYN, NY",40.65082,-73.946867
223,1406652,09/23/2014,Kings Plaza Loading Dock C,KINGS,BROOKLYN,5100 KINGS PLAZA,Diesel,100,Unknown,Equipment Failure,Commercial/Industrial,,09/29/14,"5100 KINGS PLAZA, BROOKLYN, NY","5100 KINGS PLAZA, BROOKLYN, NY",40.610344,-73.920917
224,1406666,09/23/2014,Drum Run,KINGS,BROOKLYN,2352 WEST 8TH STREET,Unknown Petroleum,Unknown,Unknown,Abandoned Drums,Unknown,,10/02/14,"2352 WEST 8TH STREET, BROOKLYN, NY","2352 WEST 8TH STREET, BROOKLYN, NY",40.590375,-73.978629
225,1406682,09/24/2014,Plymouth St Sub Station,KINGS,BROOKLYN,36 GOLD ST,Dielectric Fluid,1,Unknown,Equipment Failure,Commercial/Industrial,,Not closed,"36 GOLD ST, BROOKLYN, NY","36 GOLD ST, BROOKLYN, NY",40.704052,-73.982616
226,1406689,09/24/2014,Farragut Sub Station,KINGS,BROOKLYN,89 JOHN ST,Dielectric Fluid,1,Soil,Equipment Failure,Commercial/Industrial,,Not closed,"89 JOHN ST, BROOKLYN, NY","89 JOHN ST, BROOKLYN, NY",40.704375,-73.984956
227,1406692,09/24/2014,Drum Run,KINGS,BROOKLYN,CLARKSON AVE AND ALBANY AVE,Unknown Petroleum,Unknown,Unknown,Abandoned Drums,Unknown,,10/02/14,"CLARKSON AVE AND ALBANY AVE, BROOKLYN, NY","CLARKSON AVE AND ALBANY AVE, BROOKLYN, NY",40.656053,-73.939555
228,1406793,09/28/2014,Roadway,KINGS,BROOKLYN,CROSBY AVE/BAY 49TH ST,Antifreeze,1,Sewer,Equipment Failure,Commercial Vehicle,,10/02/14,"CROSBY AVE/BAY 49TH ST, BROOKLYN, NY","CROSBY AVE/BAY 49TH ST, BROOKLYN, NY",40.588324,-73.985215
229,1406805,09/29/2014,Roadway,KINGS,BROOKLYN,LINDEN BLVD/VAN SICKLEN AVE,Diesel,53,Unknown,Traffic Accident,Commercial Vehicle,,09/29/14,"LINDEN BLVD/VAN SICKLEN AVE, BROOKLYN, NY","LINDEN BLVD/VAN SICKLEN AVE, BROOKLYN, NY",40.596789,-73.975039
230,1406811,09/29/2014,Outside/ Gowanus Canal,KINGS,BROOKLYN,THIRD ST /,Unknown Petroleum,Unknown,Unknown,Unknown,Unknown,Gowanus Canal,09/29/14,"THIRD ST /, BROOKLYN, NY","THIRD ST /, BROOKLYN, NY",40.676125,-73.991435
231,1406924,10/01/2014,Supreme Court House,KINGS,BROOKLYN,360 ADAMS ST,#2 Fuel Oil,Unknown,Unknown,Tank Test Failure,"Institutional, Educational, Gov., Other",,Not closed,"360 ADAMS ST, BROOKLYN, NY","360 ADAMS ST, BROOKLYN, NY",40.693901,-73.989279
232,1406927,10/01/2014,Junior High # 243 - Ttf,KINGS,BROOKLYN,1401 EMMON AVE,"#2 Fuel Oil, #4 Fuel Oil",Unknown,Unknown,Tank Test Failure,Commercial/Industrial,,Not closed,"1401 EMMON AVE, BROOKLYN, NY","1401 EMMON AVE, BROOKLYN, NY",40.583467,-73.953973
233,1406981,10/02/2014,Concrete,KINGS,BROOKLYN,315 AVE W,Hydraulic Oil,5,Unknown,Equipment Failure,Commercial Vehicle,,12/09/14,"315 AVE W, BROOKLYN, NY","315 AVE W, BROOKLYN, NY",40.592826,-73.971306
234,1406988,10/03/2014,Drum Run,KINGS,BROOKLYN,617 CENTRAL AVE,Gasoline,32,Unknown,Abandoned Drums,Commercial/Industrial,,10/06/14,"617 CENTRAL AVE, BROOKLYN, NY","617 CENTRAL AVE, BROOKLYN, NY",40.688674,-73.908174
